Frame,Object Name,Confidence,Xmin,Ymin,Xmax,Ymax
201,LicensePlate,0.97290254,149,238,228,259
202,LicensePlate,0.9818287,154,238,229,259
203,LicensePlate,0.98569816,155,238,228,259
204,LicensePlate,0.982456,160,238,230,259
205,LicensePlate,0.9893241,162,238,232,259
206,LicensePlate,0.9835163,163,238,233,258
207,LicensePlate,0.99183595,164,238,235,258
208,LicensePlate,0.9884104,165,238,235,258
209,LicensePlate,0.9836002,167,238,237,258
210,LicensePlate,0.9362458,169,239,240,258
211,LicensePlate,0.93638253,171,238,241,258
212,LicensePlate,0.9441312,174,238,243,258
213,LicensePlate,0.96896076,176,239,245,258
214,LicensePlate,0.97006077,180,238,245,258
215,LicensePlate,0.8456535,182,238,249,257
216,LicensePlate,0.95923465,183,237,250,258
217,LicensePlate,0.98026407,183,238,252,258
218,LicensePlate,0.97466344,184,237,253,258
219,LicensePlate,0.936519,185,238,254,258
220,LicensePlate,0.8414752,189,237,260,257
221,LicensePlate,0.8759804,192,237,258,257
222,LicensePlate,0.8494544,193,237,259,257
223,LicensePlate,0.9569788,194,237,260,257
224,LicensePlate,0.9049874,195,238,261,257
225,LicensePlate,0.9011184,196,238,261,257
226,LicensePlate,0.90447235,197,237,262,257
227,LicensePlate,0.9290382,198,238,263,257
228,LicensePlate,0.94375116,199,238,266,258
229,LicensePlate,0.90290266,201,238,266,257
230,LicensePlate,0.82047135,202,237,268,257
231,LicensePlate,0.7131078,203,237,268,257
232,LicensePlate,0.8030485,204,237,270,257
233,LicensePlate,0.71728635,208,238,273,257
234,LicensePlate,0.7011356,210,239,274,257
256,LicensePlate,0.50636077,231,149,298,180
257,LicensePlate,0.60415673,231,149,297,180
258,LicensePlate,0.5660486,231,148,297,180
259,LicensePlate,0.71425205,231,148,296,181
260,LicensePlate,0.8373572,231,148,295,181
261,LicensePlate,0.8311918,231,148,296,181
262,LicensePlate,0.9381782,231,148,296,182
263,LicensePlate,0.9371109,231,148,296,182
264,LicensePlate,0.98717064,232,149,296,182
265,LicensePlate,0.9782053,232,149,298,182
266,LicensePlate,0.99276567,232,149,297,182
267,LicensePlate,0.99631923,232,149,296,182
268,LicensePlate,0.9964516,233,149,297,182
269,LicensePlate,0.9966039,233,149,297,182
270,LicensePlate,0.997496,234,149,297,183
271,LicensePlate,0.9983961,233,149,296,183
272,LicensePlate,0.9967878,233,149,297,183
273,LicensePlate,0.9939504,234,149,298,183
274,LicensePlate,0.9881057,234,149,300,183
275,LicensePlate,0.9530396,235,149,303,183
276,LicensePlate,0.920446,235,149,305,183
277,LicensePlate,0.86220706,235,149,308,183
278,LicensePlate,0.85247755,235,149,308,183
279,LicensePlate,0.7664726,235,149,311,183
280,LicensePlate,0.7430154,235,149,312,183
284,LicensePlate,0.5382149,235,148,317,183
289,LicensePlate,0.52728444,234,148,316,183
290,LicensePlate,0.58647835,234,148,316,182
291,LicensePlate,0.60984844,235,148,315,182
